Byte size :       ns   Speed
    0 :      37.8    0.0 MB/s
    1 :      41.1   23.2 MB/s
    2 :      44.5   42.9 MB/s
    4 :      49.6   77.0 MB/s
    8 :      61.4   124.2 MB/s
    16 :      83.2   183.4 MB/s
    32 :      83.3   366.6 MB/s
    64 :      68.9   886.3 MB/s
   128 :      104.0  1174.3 MB/s
   256 :      139.5  1750.2 MB/s
   512 :      197.4  2473.0 MB/s
   1024 :      327.0  2986.5 MB/s
   2048 :      574.5  3399.4 MB/s
   4096 :     1091.2  3579.8 MB/s
   8192 :     2117.7  3689.1 MB/s
  16384 :     4381.4  3566.2 MB/s
  32768 :     25981.4  1202.8 MB/s
  65536 :     58606.0  1066.4 MB/s
  131072 :    119077.3  1049.7 MB/s
  262144 :    238842.2  1046.7 MB/s
  524288 :    477507.1  1047.1 MB/s
 1048576 :    1709796.9   584.9 MB/s
 2097152 :    9626796.9   207.8 MB/s
 4194304 :   22957531.2   174.2 MB/s
 8388608 :   46147250.0   173.4 MB/s
 16777216 :   91878687.5   174.1 MB/s
 33554432 :   185261625.0   172.7 MB/s
 67108864 :   367042000.0   174.4 MB/s
