Byte size :       ns   Speed
    0 :       6.0    0.0 MB/s
    1 :       6.4   149.8 MB/s
    2 :       6.1   310.7 MB/s
    4 :       6.0   640.0 MB/s
    8 :       6.0  1261.2 MB/s
    16 :       6.1  2521.8 MB/s
    32 :       5.3  5777.7 MB/s
    64 :       7.0  8759.8 MB/s
   128 :       9.0  13603.0 MB/s
   256 :      16.9  14463.8 MB/s
   512 :      20.8  23483.3 MB/s
   1024 :      31.2  31333.3 MB/s
   2048 :      51.4  38014.6 MB/s
   4096 :      95.1  41077.8 MB/s
   8192 :      175.0  44640.0 MB/s
  16384 :      396.9  39363.9 MB/s
  32768 :     1416.1  22067.4 MB/s
  65536 :     2926.5  21356.6 MB/s
  131072 :     6396.1  19543.2 MB/s
  262144 :     19024.2  13141.1 MB/s
  524288 :     39124.3  12779.8 MB/s
 1048576 :     78890.1  12675.9 MB/s
 2097152 :    183332.0  10909.2 MB/s
 4194304 :    365302.2  10949.8 MB/s
 8388608 :    1012046.9  7904.8 MB/s
 16777216 :    4432558.6  3609.7 MB/s
 33554432 :    9551320.3  3350.3 MB/s
 67108864 :   18950125.0  3377.3 MB/s
