procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 6334648 141708 7184492    0    0     1    11    0    0  1  0 99  0  0
 3  0      0 5890444 141708 7220440    0    0  5140   221 6627 30065 30  6 64  1  0
 3  2      0 5338872 141708 7249076    0    0  5258   136 6696 11585 45  5 49  0  0
 3  0      0 5062816 141764 7259424    0    0  1779    82 5058 9193 33  3 63  0  0
 4  0      0 4844496 141828 7271848    0    0   318  1879 5633 9459 39  3 56  1  0
 6  0      0 4744388 141828 7283132    0    0     0  1128 4621 7523 55  1 43  0  0
 6  0      0 4700084 141868 7295156    0    0     0  1130 4349 7169 50  1 49  0  0
 4  0      0 4676768 141888 7307124    0    0     0  1126 3995 6354 53  1 46  0  0
 4  0      0 4661996 141908 7307620    0    0     0  1129 4139 6939 48  1 51  0  0
 4  0      0 4658360 141920 7318812    0    0     0  1126 3826 5914 50  1 49  0  0
 4  0      0 4652280 141928 7309200    0    0     0  2374 4180 6926 47  1 51  0  0
 4  0      0 4634004 141928 7320640    0    0     0  2270 3630 5759 49  1 50  0  0
 2  0      0 4626884 141932 7321560    0    0     0   270 4051 6254 49  1 50  0  0
 1  0      0 4613572 141932 7332536    0    0     0  2206 3495 5603 50  1 49  0  0
 4  0      0 4598012 141932 7344632    0    0     0  2502 3960 6231 50  1 49  0  0
 5  0      0 4592548 141952 7344884    0    0     0  2280 3997 6649 44  1 54  0  0
 7  2      0 4581240 141952 7346848    0    0     0  9102 5144 8290 51  2 40  7  0
 4  0      0 4572140 141952 7357960    0    0     0  2669 3836 5941 43  1 41 14  0
 4  0      0 4561160 141956 7370036    0    0     0  1134 3970 6095 50  1 49  0  0
 4  0      0 4542744 141956 7381672    0    0     0  1120 3713 6093 46  1 53  0  0
 4  0      0 4531540 141956 7393072    0    0     0  1126 3784 5969 50  1 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 4536808 141956 7383652    0    0     0  1127 4049 6446 47  1 52  0  0
 8  0      0 4525424 141956 7395512    0    0     0  1127 4279 6525 50  1 49  0  0
 4  0      0 4514708 141956 7407972    0    0     0  2422 3846 6389 46  1 53  0  0
 4  0      0 4506428 141956 7408104    0    0     0  2327 4179 6759 50  1 48  1  0
 4  0      0 4489080 141956 7420332    0    0     0  2423 4115 7033 44  1 55  0  0
 4  0      0 4476628 141956 7431336    0    0     0  2282 3798 5757 49  1 50  0  0
 4  0      0 4484060 141956 7422232    0    0     0  2461 3772 6069 47  1 51  1  0
 4  2      0 4470688 141956 7433672    0    0     0 10218 4874 7711 42  2 46 11  0
 1  0      0 4471376 141956 7435124    0    0     0   147 3722 5969 46  1 52  1  0
 4  0      0 4454688 141956 7440956    0    0     0  1127 3486 5675 50  1 50  0  0
 1  0      0 4461612 141956 7447660    0    0     0  1138 4287 6534 50  1 49  0  0
 3  0      0 4451420 141956 7459092    0    0     0  1126 3394 5472 48  1 52  0  0
 2  0      0 4442352 141956 7471860    0    0     0  1139 4175 6541 49  1 49  0  0
 4  0      0 4446388 142240 7460908    0    0    57  1132 3831 6182 46  1 53  0  0
 4  0      0 4432816 142240 7473328    0    0     0  1368 4230 6446 50  1 49  0  0
 5  0      0 4431684 142240 7473688    0    0     0  2431 4421 6957 44  1 54  0  0
 4  0      0 4416372 142240 7474744    0    0     0  2325 4366 6574 50  1 49  0  0
 5  0      0 4413548 142244 7486808    0    0     0  2426 3658 5811 49  1 50  0  0
 4  0      0 4403152 142248 7498796    0    0     0  2318 4109 6192 50  1 48  0  0
 5  0      0 4386660 142248 7510952    0    0     0 10499 5093 8058 48  2 46  4  0
 4  0      0 4376348 142248 7522712    0    0     0  1136 3786 5989 49  1 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 4385852 142248 7512400    0    0     0  1125 4230 6660 47  1 52  0  0
 5  0      0 4372148 142256 7524612    0    0     0  1133 4007 6094 51  1 48  0  0
 4  0      0 4367848 142256 7525420    0    0     0  1120 4139 6443 47  1 52  0  0
 4  0      0 4355128 142256 7537056    0    0     0  1123 4148 6318 50  1 49  0  0
 4  0      0 4343160 142256 7549204    0    0     0  1117 4164 6780 44  1 55  0  0
 6  0      0 4330988 142256 7561120    0    0     0  1271 3874 5878 50  1 49  0  0
 4  0      0 4340568 142260 7551052    0    0     0  2510 4371 6791 48  1 51  0  0
 5  0      0 4332084 142260 7562796    0    0     0  2243 4195 6324 50  1 49  0  0
 4  0      0 4328012 142260 7563924    0    0     0  2492 4127 6465 46  1 53  0  0
 4  0      0 4314748 142260 7575808    0    0     0  2227 3843 5867 49  1 50  0  0
 4  2      0 4298956 142260 7587876    0    0     0 11204 5196 8328 48  2 48  2  0
 4  0      0 4290364 142260 7599192    0    0     0  1579 3941 5891 49  1 48  2  0
 4  0      0 4279060 142260 7612068    0    0     0  1118 4074 6434 47  1 53  0  0
 4  0      0 4295744 142260 7589716    0    0     0  1132 4001 6280 51  1 48  0  0
 0  0      0 6096648 142260 7263132    0    0    11   179 4276 7031 32  2 66  0  0
 0  0      0 6096980 142260 7262928    0    0     0    14 2737 5303  0  0 99  0  0
 1  0      0 6099580 142260 7262852    0    0     0    15 2719 5364  1  0 99  0  0
 0  0      0 6099596 142260 7262852    0    0     0   224 2619 5149  0  0 99  0  0
 0  0      0 6099376 142260 7262872    0    0     0    16 2748 5376  0  0 99  0  0
 1  0      0 6099376 142260 7262860    0    0     0    80 2626 5210  1  0 99  0  0
 0  0      0 6099636 142260 7262864    0    0     0    42 2753 5343  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6099636 142260 7262872    0    0     0    34 2669 5251  1  0 99  0  0
 0  0      0 6098632 142260 7262936    0    0     0   563 3924 7084  1  1 96  2  0
 0  0      0 6100760 142260 7262892    0    0     0    22 2679 5305  1  0 99  0  0
 0  0      0 6100760 142260 7262908    0    0     0    17 2727 5373  1  0 99  0  0
 0  0      0 6101296 142260 7262904    0    0     0    18 2669 5310  1  0 99  0  0
 0  0      0 6101012 142260 7262932    0    0     0    14 2622 5275  0  0 99  0  0
 0  0      0 6101012 142260 7262900    0    0     0    16 2524 5170  1  0 99  0  0
 1  0      0 6101012 142260 7262964    0    0     0    15 2623 5232  0  0 99  0  0
 0  0      0 6101516 142260 7262928    0    0     0    77 2647 5212  1  0 99  0  0
 0  0      0 6100720 142260 7262952    0    0     0    74 2781 5381  1  0 99  0  0
 0  0      0 6100728 142260 7262964    0    0     0    68 2532 5115  1  0 99  0  0
 0  0      0 6100972 142260 7262944    0    0     0    16 2524 5144  0  0 99  0  0
 0  0      0 6100516 142260 7262920    0    0     0    32 2711 5356  0  0 99  0  0
 0  1      0 6099816 142260 7262964    0    0     0   309 3892 7184  1  1 97  1  0
 0  0      0 6100180 142260 7263044    0    0     0   286 2700 5221  1  0 97  2  0
 0  0      0 6100432 142260 7262984    0    0     0    14 2590 5297  0  0 99  0  0
 0  0      0 6101008 142260 7262968    0    0     0    70 2603 5197  1  0 99  0  0
 0  0      0 6101008 142260 7262964    0    0     0    55 2640 5223  0  0 99  0  0
 0  0      0 6101008 142260 7262968    0    0     0    76 2658 5265  0  0 99  0  0
 0  0      0 6101292 142260 7263004    0    0     0    17 2616 5247  0  0 99  0  0
 0  0      0 6101292 142260 7263000    0    0     0    98 2577 5161  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 6101008 142260 7262984    0    0     0    22 2593 5213  0  0 99  0  0
 0  0      0 6101008 142260 7262992    0    0     0   108 2641 5328  1  0 99  0  0
 0  0      0 6101260 142260 7262988    0    0     0    12 2640 5323  1  0 99  0  0
